,equilibrator id,stan_code
135,[N]-O [H0 Z-1 Mg0],136
136,-O- [H0 Z0 Mg0],137
137,-C#C- [H1 Z0 Mg0],138
138,-C#C [H1 Z0 Mg0],139
139,-C#C [H0 Z-1 Mg0],140
140,N#C- [H0 Z0 Mg0],141
141,3-ring =c< [H0 Z0 Mg0],142
142,2-ring >C< [H0 Z0 Mg0],143
143,2-ring -C< [H1 Z0 Mg0],144
144,2-ring -C- [H2 Z0 Mg0],145
145,2-ring =C< [H0 Z0 Mg0],146
146,(1+1)-ring =C< [H0 Z0 Mg0],147
147,2-ring =c< [H0 Z0 Mg0],148
148,ring =c- [H1 Z0 Mg0],149
149,ring =c< [H0 Z0 Mg0],150
150,ring =C< [H0 Z0 Mg0],151
151,ring =C- [H1 Z0 Mg0],152
152,=C- [H1 Z0 Mg0],153
153,=C [H2 Z0 Mg0],154
154,=C< [H0 Z0 Mg0],155
155,ring >C< [H0 Z0 Mg0],156
156,>C< [H0 Z0 Mg0],157
157,ring -C< [H1 Z0 Mg0],158
158,-C< [H1 Z0 Mg0],159
159,ring -C- [H2 Z0 Mg0],160
160,-C- [H2 Z0 Mg0],161
161,-C [H3 Z0 Mg0],162
162,Origin [H0 Z0 Mg0],163
163,"Compound(id=8576, inchi_key=None)",164
164,"Compound(id=5, inchi_key=XLYOFNOQVPJJNP-UHFFFAOYSA-N)",165
165,"Compound(id=7, inchi_key=MYMOFIZGZYHOMD-UHFFFAOYSA-N)",166
166,"Compound(id=12, inchi_key=NBIIXXVUZAFLBC-UHFFFAOYSA-L)",167
167,"Compound(id=74380, inchi_key=RWSOTUBLDIXVET-UHFFFAOYSA-M)",168
168,"Compound(id=14, inchi_key=XPPKVPWEQAFLFU-UHFFFAOYSA-K)",169
169,"Compound(id=75150, inchi_key=XEEYBQQBJWHFJM-UHFFFAOYSA-N)",170
170,"Compound(id=16, inchi_key=CURLTUGMZLYLDI-UHFFFAOYSA-N)",171
171,"Compound(id=1296, inchi_key=OAKJQQAXSVQMHS-UHFFFAOYSA-N)",172
172,"Compound(id=18, inchi_key=QGZKDVFQNNGYKY-UHFFFAOYSA-O)",173
173,"Compound(id=140, inchi_key=DDQYFSWAPPTJDD-UHFFFAOYSA-N)",174
174,"Compound(id=75409, inchi_key=SZJRUBWOVDTKNI-UHFFFAOYSA-N)",175
175,"Compound(id=149, inchi_key=OKKJLVBELUTLKV-UHFFFAOYSA-N)",176
176,"Compound(id=24, inchi_key=MHAJPDPJQMAIIY-UHFFFAOYSA-N)",177
177,"Compound(id=2713, inchi_key=VZGDMQKNWNREIO-UHFFFAOYSA-N)",178
178,"Compound(id=2844, inchi_key=YMWUJEATGCHHMB-UHFFFAOYSA-N)",179
179,"Compound(id=416, inchi_key=UYPYRKYUKCHHIB-UHFFFAOYSA-N)",180
180,"Compound(id=161, inchi_key=None)",181
181,"Compound(id=675, inchi_key=VNWKTOKETHGBQD-UHFFFAOYSA-N)",182
182,"Compound(id=549, inchi_key=None)",183
183,"Compound(id=168, inchi_key=None)",184
184,"Compound(id=41, inchi_key=BDAGIHXWWSANSR-UHFFFAOYSA-M)",185
185,"Compound(id=684, inchi_key=None)",186
186,"Compound(id=9903, inchi_key=None)",187
187,"Compound(id=4400, inchi_key=HEDRZPFGACZZDS-UHFFFAOYSA-N)",188
188,"Compound(id=4401, inchi_key=NEHMKBQYUWJMIP-UHFFFAOYSA-N)",189
189,"Compound(id=694322, inchi_key=LGHYUXIXXNHKSE-UHFFFAOYSA-N
)",190
190,"Compound(id=56, inchi_key=WSFSSNUMVMOOMR-UHFFFAOYSA-N)",191
191,"Compound(id=1721, inchi_key=PWHULOQIROXLJO-UHFFFAOYSA-N)",192
192,"Compound(id=58, inchi_key=QAOWNCQODCNURD-UHFFFAOYSA-L)",193
193,"Compound(id=184, inchi_key=UFHFLCQGNIYNRP-UHFFFAOYSA-N)",194
194,"Compound(id=60, inchi_key=BVKZGUZCCUSVTD-UHFFFAOYSA-M)",195
195,"Compound(id=185, inchi_key=VTLYFUHAOXGGBS-UHFFFAOYSA-N)",196
196,"Compound(id=703, inchi_key=IAZDPXIOMUYVGZ-UHFFFAOYSA-N)",197
