,mass,compound_id,inchi_key,formation_energy_cc
72,228.09400000000002,109,KTVPXOYAKDPRHY-SOOFDHNKSA-L,-1597.37361343416
73,168.042,71,LXJXRIRHZLFYRP-VKHMYHEASA-L,-1289.3363843557324
74,385.029,86,PQGCEDQWHSBAJP-TXICZTDVSA-I,-3332.7034069516926
75,150.13,229,HMFHBZSHGGEWLO-SOOFDHNKSA-N,-743.3561057168212
76,114.057,88,VZCYOOQTPOCHFL-OWOJBTEDSA-L,-598.4456411334903
77,131.175,132,ROHFNLRQFUQHCH-YFKPBYRVSA-N,-348.6869957572076
78,180.15599999999998,369,WQZGKKKJIJFFOK-PHYPRBDBSA-N,-909.2784439578962
79,32.042,149,OKKJLVBELUTLKV-UHFFFAOYSA-N,-175.27805189491116
80,135.13,160,GFFGJBXGBJISGV-UHFFFAOYSA-N,308.3986848991304
81,132.072,92,BJEPYKJPYRNKOW-REOHCLBHSA-L,-840.4316500484713
82,132.119,139,DCXYFEDJOCDNAF-REOHCLBHSA-N,-526.0410563103158
83,189.101,123,KRKNYBCHXYNGOX-UHFFFAOYSA-K,-1163.0883729932937
84,180.15599999999998,172,WQZGKKKJIJFFOK-QTVWNMPRSA-N,-913.5051074718822
85,75.044,210,AEMRFAOFKBGASW-UHFFFAOYSA-M,-532.6821045808276
86,101.08200000000001,146,WDJHALXBUFZDSR-UHFFFAOYSA-M,-488.3167869552794
87,150.13,74603,PYMYPHUHKUWMLA-VPENINKCSA-N,-750.2168303460427
88,117.148,188,KZSNJWFQEVHDMF-BYPYZUCNSA-N,-358.67757575451367
89,90.07799999999999,438,RXKJFZQQPQGTFL-UHFFFAOYSA-N,-452.0604793932278
90,89.071,169,JVTAAEKCZFNVCJ-REOHCLBHSA-M,-511.4303581252837
91,119.12,134,AYFVYJQAPQTCCC-GBXIJSLDSA-N,-529.3019941845123
92,183.033,118,OSJPPGNTCRNQQC-UWTATZPHSA-K,-1504.5458590331928
93,178.14,321,PHOQVHQSTUBQQK-SQOUGZDYSA-N,-902.8341156361386
94,228.09400000000002,137,FNZLKVNUWIIPSJ-UHNVWZDZSA-L,-1595.3364189925696
95,58.08,377,CSCPPACGZOOCGX-UHFFFAOYSA-N,-160.25192480651103
96,342.29699999999997,157,GUBGYTABKSRVRQ-PICCSMPSSA-N,-1579.3202578914509
97,88.01899999999999,277,MUBZPKHOEPUJKR-UHFFFAOYSA-L,-673.8595685690817
98,267.245,200,OIRDTQYFTABQOQ-KQYNXXCUSA-N,-191.6107667291736
99,150.13,516,SRBFZHDQGSBBOR-ZRMNMSDTSA-N,-745.9395433830274
100,32.065,242,BAVYZALUXZFZLV-UHFFFAOYSA-O,-39.85512583959267
