,reaction_id,stoichiometry
64,-1659716040213917041,"{585: -1.0, 11: -1.0, 1260: 1.0, 13: 1.0, 3: 1.0}"
65,5918447430746437261,"{2647: -1.0, 11: -1.0, 5: -1.0, 67: 1.0, 25: 1.0, 13: 1.0, 3: 1.0}"
66,-1283269348742414930,"{34: -1.0, 148: 1.0}"
67,-2972482527998108159,"{6: -1.0, 11: -1.0, 10: 1.0, 8: 1.0, 3: 1.0}"
68,1604212105113572643,"{1577: -1.0, 74: 1.0, 2118: 1.0}"
69,-8599431320448575749,"{74392: -1.0, 27: 1.0, 66: 1.0}"
70,-7442318189790576743,"{318: -1.0, 74381: 1.0}"
71,-7114202610019283525,"{88: -1.0, 5: -1.0, 92: 1.0}"
72,-5874636475233876768,"{173: -1.0, 8: -1.0, 224: 1.0, 9: 1.0, 5: -1.0, 3: 1.0}"
73,-3952176464011519429,"{92: -1.0, 11: -1.0, 5: -1.0, 25: 1.0, 13: 1.0, 60: 1.0, 3: 1.0}"
74,4904368220269244459,"{204: -1.0, 281: -1.0, 1032: 1.0, 12: 1.0, 3: -1.0}"
75,6453631670720408241,"{21: -1.0, 5: -1.0, 200: 1.0, 88364: 1.0}"
76,6954822192595829087,"{43: -1.0, 1260: 1.0}"
77,3883422763046420045,"{181: -1.0, 22: -1.0, 163: 1.0, 74378: 1.0}"
78,-6274822660730618777,"{203: -1.0, 484: 1.0}"
79,-416968502168979078,"{74378: -1.0, 11: -1.0, 5: -1.0, 22: 1.0, 13: 1.0, 18: 1.0, 3: 1.0}"
80,-127828144358602124,"{233: -1.0, 11: -1.0, 1479: 1.0, 13: 1.0, 3: 1.0}"
81,-1295198443524636527,"{74378: -1.0, 694323: -1.0, 5: -1.0, 22: 1.0, 694324: 1.0, 18: 1.0, 3: 1.0}"
82,5799624995044342785,"{74378: -1.0, 92: -1.0, 11: -1.0, 44: 1.0, 22: 1.0, 13: 1.0, 3: 1.0}"
83,-6069347607353055962,"{1341: -1.0, 22: -1.0, 1320: 1.0, 74378: 1.0}"
84,3396836518558427460,"{350: -1.0, 5: -1.0, 125172: 1.0, 18: 1.0}"
85,7043619773777078867,"{536: -1.0, 88: 1.0, 17: 1.0}"
86,-1940211655025049734,"{6: -1.0, 20: -1.0, 10: 1.0, 113: 1.0}"
87,2528537011900980250,"{75409: -1.0, 8: -1.0, 140: 1.0, 9: 1.0, 3: 1.0}"
88,2538514483787244978,"{313: -1.0, 3050: 1.0, 5: 1.0}"
89,5869599680138152393,"{261: -1.0, 118: 1.0}"
90,201124721210186600,"{125172: -1.0, 5: -1.0, 1260: 1.0, 12: 1.0}"
91,-7456998533937598215,"{43: -1.0, 8: -1.0, 321: 1.0, 9: 1.0, 3: 1.0}"
92,-2322167213347670945,"{74383: -1.0, 8: -1.0, 267: 1.0, 9: 1.0, 3: 1.0}"
93,-3249321877768614112,"{39: -1.0, 25: -1.0, 545: 1.0, 34: 1.0}"
94,-7194675397976190990,"{39: -1.0, 66: -1.0, 545: 1.0, 31: 1.0}"
95,-5445556328714568206,"{514: -1.0, 74378: -1.0, 22: 1.0, 359: 1.0}"
96,1368454481004848145,"{34: -1.0, 11: -1.0, 5: -1.0, 25: 1.0, 13: 1.0, 18: 1.0, 3: 1.0}"
97,-797106039694243135,"{200: -1.0, 5: -1.0, 160: 1.0, 229: 1.0}"
98,7846483187120959277,"{113: -1.0, 74381: -1.0, 14: 1.0, 52: 1.0}"
99,2639995027854073055,"{398: -1.0, 8: -1.0, 294: 1.0, 9: 1.0, 3: 1.0}"
100,-5633891264630581004,"{214: -1.0, 2133: 1.0, 25: 1.0}"
101,-5070983621402768756,"{287: -1.0, 694323: -1.0, 72: 1.0, 694324: 1.0, 3: 1.0}"
102,-333140462709301974,"{3741: -1.0, 11: -1.0, 2037: 1.0, 13: 1.0, 3: 1.0}"
103,-8222181366027335009,"{44: -1.0, 22: -1.0, 48: 1.0, 74378: 1.0}"
104,-7172003832041183316,"{1614: -1.0, 1682: 1.0}"
105,-7364086426755679566,"{255: -1.0, 22: -1.0, 250: 1.0, 74378: 1.0}"
106,-7359832159175612461,"{74381: -1.0, 152: 1.0}"
107,-8288062661185720593,"{1628: -1.0, 5: -1.0, 2221: 1.0, 474: 1.0}"
108,7373035511219216282,"{486: -1.0, 8: -1.0, 74603: 1.0, 9: 1.0, 3: 1.0}"
109,-7914906319950161541,"{72: -1.0, 15: -1.0, 11: -1.0, 23: 1.0, 13: 1.0, 3: 1.0}"
110,8367079169637328090,"{6: -1.0, 109: -1.0, 17: 1.0, 86: 1.0, 3: 1.0}"
111,8485159075551975834,"{92: -1.0, 11: -1.0, 48: 1.0, 13: 1.0, 3: 1.0}"
112,7786769674523335700,"{9409: -1.0, 5: -1.0, 369: 1.0, 1260: 1.0}"
113,-3392039729510961247,"{74455: -1.0, 11: -1.0, 125172: 1.0, 13: 1.0, 3: 1.0}"
114,-7931959029301933676,"{44: -1.0, 88: 1.0, 18: 1.0}"
115,5076578034803684087,"{522: -1.0, 88: 1.0, 67: 1.0}"
116,983836253505200412,"{17: -1.0, 5: -1.0, 160: 1.0, 109: 1.0}"
117,4682373071958924839,"{152: -1.0, 8: -1.0, 408: 1.0, 9: 1.0, 3: 1.0}"
118,3176041178891353595,"{320: -1.0, 5: -1.0, 274: 1.0, 18: 1.0, 3: -1.0}"
119,-9018958843690713205,"{691406: -1.0, 691491: 1.0}"
120,8909855108820782020,"{52: -1.0, 318: -1.0, 74381: 1.0, 74408: 1.0}"
121,-6573446637721331992,"{173: -1.0, 31: -1.0, 5: -1.0, 74383: 1.0, 53: 1.0}"
122,4179622839359594513,"{258: -1.0, 71: -1.0, 245: 1.0, 125172: 1.0}"
123,-4721462085991468063,"{369: -1.0, 11: -1.0, 2646: 1.0, 13: 1.0, 3: 1.0}"
124,-2840288459718840480,"{52: -1.0, 1260: -1.0, 20: 1.0, 159: 1.0}"
125,7234075632300689120,"{132: -1.0, 22: -1.0, 383: 1.0, 74378: 1.0}"
126,2583991494911343068,"{188: -1.0, 22: -1.0, 3723: 1.0, 74378: 1.0}"
127,3099716615315338901,"{427: -1.0, 12: -1.0, 74381: 1.0, 152: 1.0}"
128,-1070413007319971112,"{1290: -1.0, 2089: 1.0, 5: 1.0}"
129,4169086240611198516,"{323: -1.0, 8: -1.0, 552: 1.0, 9: 1.0, 3: 1.0}"
130,-4991955905399664728,"{13: -1.0, 8: -1.0, 11: 1.0, 9: 1.0}"
131,2319877890438109295,"{63: -1.0, 177: -1.0, 14: 1.0, 428: 1.0}"
132,9064858144182553344,"{3007: -1.0, 11: -1.0, 3025: 1.0, 13: 1.0, 3: 1.0}"
133,442715560842309211,"{396: -1.0, 74: 1.0, 71: 1.0}"
134,4436214234320636102,"{49832: -1.0, 4070: 1.0}"
135,3593124727461693792,"{831: -1.0, 25: 1.0, 66: 1.0}"
136,727436592782536332,"{7798: -1.0, 1637: 1.0, 5: 1.0}"
137,-5576868839587525033,"{239: -1.0, 5: -1.0, 443: 1.0, 3: 1.0}"
138,5447643663188893577,"{6: -1.0, 33: -1.0, 10: 1.0, 208: 1.0, 3: -1.0}"
139,-3758790872987094950,"{1311: -1.0, 11: -1.0, 5: -1.0, 1467: 1.0, 13: 1.0, 18: 1.0, 3: 1.0}"
140,4804065347653353253,"{343: -1.0, 5: -1.0, 369: 1.0, 43: 1.0}"
141,-4991955905399664728,"{11: -1.0, 9: -1.0, 13: 1.0, 8: 1.0}"
142,3176343771445438410,"{15: -1.0, 143: -1.0, 1974: 1.0, 57: 1.0}"
143,3568390954184965678,"{274: -1.0, 12: -1.0, 150: 1.0, 281: 1.0}"
144,936676170340845485,"{23: -1.0, 146: -1.0, 125: 1.0, 28: 1.0}"
145,-1901956114774880469,"{71: -1.0, 10: -1.0, 11: -1.0, 12: -1.0, 118: 1.0, 6: 1.0, 13: 1.0, 3: 1.0}"
146,1835463725579134798,"{281: -1.0, 109: 1.0}"
147,1379495117742342956,"{396: -1.0, 5: -1.0, 116484: 1.0, 12: 1.0}"
148,7703383207606443385,"{5465: -1.0, 5: -1.0, 43: 2.0}"
149,6530666041738419006,"{31: -1.0, 691214: -1.0, 27863: 1.0, 60: 1.0, 5: -1.0}"
150,8530810401082148703,"{3006: -1.0, 25: 1.0, 2118: 1.0}"
151,-9139111085289067711,"{173: -1.0, 11: -1.0, 487: 1.0, 13: 1.0}"
152,-1706486875490264468,"{173: -1.0, 694323: -1.0, 487: 1.0, 694324: 1.0}"
153,2890684354433395326,"{4620: -1.0, 22: -1.0, 497: 1.0, 74378: 1.0}"
154,-7092079770335016766,"{123: -1.0, 764: 1.0, 5: 1.0}"
155,5854177332797515316,"{117: -1.0, 14: -1.0, 201: 1.0, 86: 1.0, 3: -1.0}"
156,5567735255518076370,"{626: -1.0, 1576: 1.0}"
157,-8408008056778645427,"{23: -1.0, 85: -1.0, 15: 1.0, 745: 1.0}"
158,849180649387990360,"{1453: -1.0, 23: 1.0, 66: 1.0}"
159,7295158836613996318,"{109: -1.0, 137: 1.0}"
160,-8494507507324346284,"{563: -1.0, 8: -1.0, 888: 1.0, 9: 1.0, 3: 1.0}"
161,-7306063104491408236,"{52: -1.0, 74408: 1.0}"
162,-2646189027329580955,"{117: -1.0, 5: -1.0, 316: 1.0, 12: 1.0}"
163,4195678726378540595,"{152: -1.0, 5: -1.0, 43: 1.0, 12: 1.0}"
164,9173332600610707808,"{173: -1.0, 8: -1.0, 487: 1.0, 9: 1.0}"
165,-2563170552435585361,"{634: -1.0, 31: -1.0, 5: -1.0, 635: 1.0, 53: 1.0}"
166,-1884274195559571991,"{691273: -1.0, 56: 1.0, 74: 1.0}"
167,-6660235667210314687,"{137: -1.0, 176: 1.0}"
168,5459354464595590926,"{6: -1.0, 28: -1.0, 15: -1.0, 17: 1.0, 14: 1.0, 23: 1.0, 3: 1.0}"
169,5919073439303763063,"{1308: -1.0, 1145: 1.0, 18: 1.0}"
170,4122725423399859271,"{482: -1.0, 5: -1.0, 754: 1.0, 3: 1.0}"
171,-1243408286526470347,"{373: -1.0, 74381: -1.0, 1256: 1.0, 14: 1.0}"
172,-3435286475734258363,"{123: -1.0, 28: 1.0, 48: 1.0}"
173,-6630035350770004655,"{1450: -1.0, 1144: 1.0, 5: 1.0}"
174,3887585201431594645,"{66384: -1.0, 11: -1.0, 29687: 1.0, 13: 1.0, 3: 1.0}"
175,1546202750398447638,"{848: -1.0, 74378: -1.0, 74448: 1.0, 74383: 1.0}"
176,-8415088807222434669,"{187: -1.0, 5: -1.0, 43: 2.0}"
177,8531394949316810680,"{116484: -1.0, 414: 1.0, 74: 1.0}"
178,936584591193775339,"{74392: -1.0, 8: -1.0, 5: -1.0, 22: 1.0, 9: 1.0, 60: 1.0, 3: 1.0}"
179,-660930955791356056,"{419: -1.0, 25: 1.0, 414: 1.0}"
180,990308651756438228,"{1033: -1.0, 8: -1.0, 2118: 1.0, 9: 1.0, 3: 1.0}"
181,-2942428367354874008,"{806: -1.0, 270: 1.0}"
182,-2120778417288022237,"{74392: -1.0, 764: 1.0, 5: 1.0}"
183,6572138714375099058,"{179: -1.0, 11: -1.0, 371: 1.0, 13: 1.0, 3: 1.0}"
184,6360206294032865632,"{6: -1.0, 25: -1.0, 60: -1.0, 10: 1.0, 12: 1.0, 48: 1.0, 3: 1.0}"
185,-7117805928928240164,"{300: -1.0, 35: -1.0, 173: 1.0, 40: 1.0, 3: -1.0}"
186,1348662594555837472,"{179: -1.0, 11: -1.0, 453: 1.0, 13: 1.0, 3: 1.0}"
187,-4357054626575496358,"{261: -1.0, 70: 1.0, 5: 1.0}"
188,8132708027901597280,"{183: -1.0, 14: -1.0, 260: 1.0, 86: 1.0}"
189,-5281700221849893906,"{51: -1.0, 117: -1.0, 44: -1.0, 32: 1.0, 12: 1.0, 536: 1.0, 3: 2.0}"
190,4209190631919667265,"{745: -1.0, 5: -1.0, 28: 1.0, 85: 1.0, 3: 1.0}"
191,9195340004581421580,"{6: -1.0, 58: -1.0, 273: 1.0, 14: 1.0}"
192,4101622902621290612,"{4004: -1.0, 5: -1.0, 443: 1.0, 3: 1.0}"
193,-6597497756544102964,"{246: -1.0, 86: -1.0, 106: 1.0, 14: 1.0, 3: 1.0}"
194,5854177332797515316,"{201: -1.0, 86: -1.0, 117: 1.0, 14: 1.0, 3: 1.0}"
195,-3994753308106718771,"{160: -1.0, 86: -1.0, 17: 1.0, 14: 1.0, 3: 1.0}"
196,-5142964058252719570,"{75: -1.0, 1667: 1.0}"
197,-1291995620011466589,"{23: -2.0, 15: 1.0, 125: 1.0}"
198,3426361559984275113,"{319: -1.0, 18: -1.0, 1816: 1.0, 5: 1.0}"
199,-8999308007684389486,"{44860: -1.0, 5: -1.0, 43: 2.0}"
200,-5095234551215232255,"{1495: -1.0, 5: -1.0, 2463: 1.0}"
201,-1143577453697637139,"{954: -1.0, 11: -1.0, 497: 1.0, 13: 1.0, 3: 1.0}"
202,9205043250314258202,"{11228: -1.0, 113: -1.0, 82: 1.0, 14: 1.0}"
203,-2559485616700509681,"{52: -1.0, 125172: -1.0, 20: 1.0, 691168: 1.0}"
204,5104868271905704536,"{3112: -1.0, 11: -1.0, 691214: 1.0, 13: 1.0, 3: 1.0}"
205,-3994753308106718771,"{17: -1.0, 14: -1.0, 160: 1.0, 86: 1.0, 3: -1.0}"
206,578392262735771537,"{1940: -1.0, 71: 1.0, 72: 1.0}"
207,7378163644701484731,"{39: -1.0, 5: -1.0, 74378: 1.0, 18: 1.0}"
208,-3939931548073517716,"{701: -1.0, 5: -1.0, 18: 1.0, 60: 1.0, 3: -1.0}"
209,-1600682310248655425,"{279: -1.0, 3360: 1.0}"
210,6064500285550096589,"{404: -1.0, 1611: 1.0}"
211,-4909115892008344972,"{34: -1.0, 371: -1.0, 53: 1.0, 25: 1.0}"
212,5670118681728887985,"{6: -1.0, 25: -1.0, 10: 1.0, 70: 1.0, 3: 1.0}"
213,2849952775779890038,"{1023: -1.0, 1058: 1.0, 3: 1.0}"
214,3080649883849199454,"{200: -1.0, 12: -1.0, 160: 1.0, 281: 1.0}"
215,4051497761023966582,"{711: -1.0, 708: 1.0, 5: 1.0}"
216,2412927585724671307,"{978: -1.0, 202: 1.0, 5: 1.0}"
217,4146869928238315787,"{2700: -1.0, 11: -1.0, 377: 1.0, 13: 1.0, 3: 1.0}"
218,181309474809772194,"{425: -1.0, 202: 1.0, 5: 1.0}"
