,compound_id,inchi_key,mass,cc_low,cc_high,formation_energy_cc,formation_energy_rc
43,63,PCDQPRRSZKQHHS-XVFCMESISA-J,479.125,-3153.235952938161,-3133.8544645375914,-3143.5452087378762,-705.5192363338549
44,64,AWUCVROLDVIAJX-GSVOUGTGSA-L,170.058,-1340.25490492902,-1336.003945276851,-1338.1294251029356,-1338.129425102934
45,66,HHLFWLYXYJOTON-UHFFFAOYSA-M,73.028,-473.82662495618615,-468.0556690462404,-470.94114700121327,-470.9411470012131
46,67,ODKSFYDXXFIFQN-BYPYZUCNSA-O,175.21099999999998,-306.64003689383276,-286.5383003992198,-296.5891686465263,160.88145216237146
47,70,DTBNBXWJWCWCIK-UHFFFAOYSA-K,165.018,-1267.6284172799267,-1264.2796600449726,-1265.9540386624496,-1265.9540386624508
48,71,LXJXRIRHZLFYRP-VKHMYHEASA-L,168.042,-1290.6949593796412,-1287.9778093318237,-1289.3363843557324,-1289.3363843557343
49,72,IKHGUXGNUITLKF-UHFFFAOYSA-N,44.053000000000004,-142.88355509155414,-137.88884927960075,-140.38620218557745,-140.38620218558063
50,73,OUYCCCASQSFEME-QMMMGPOBSA-N,181.19099999999997,-376.63451095054137,-364.68322336413524,-370.6588671573383,-370.65886715733734
51,74,GNGACRATGGDKBX-UHFFFAOYSA-L,168.042,-1296.0276628246027,-1293.7391240762397,-1294.8833934504212,-1294.8833934504253
52,75,KDXKERNSBIXSRK-YFKPBYRVSA-O,147.197,-366.31204842396,-353.80641540895687,-360.05923191645843,153.54549770639625
53,77,DJJCXFVJDGTHFX-XVFCMESISA-L,322.16700000000003,-1586.5203147057816,-1563.821908870944,-1575.1711117883629,868.9643568162425
54,78,MVMSCBBUIHUTGJ-GDJBGNAASA-L,603.328,-138427.0736427429,132200.78506639393,-3113.1442881744833,-770.8852527599299
55,79,NUHSROFQTUXZQQ-UHFFFAOYSA-K,243.06900000000002,-1836.3874746460538,-1823.6931081591006,-1830.0402914025772,2.4511950965659
56,81,QAQREVBBADEHPA-IEXPHMLFSA-J,819.57,-3229.525723820503,-3195.5940092488227,-3212.559866534663,418.9048304880072
57,82,HDYANYHVCAPMJV-LXQIFKJMSA-K,577.262,-3328.8214660552194,-3307.602238737245,-3318.211852396232,351.7823937875916
58,83,MNBKLUUYKPBKDU-BBECNAHFSA-J,1001.92,-3147.1257875729434,-3105.0669877204664,-3126.096387646705,83.37475538782712
59,84,NINIDFKCEFEMDL-UHFFFAOYSA-N,34.08,-5.975643793199046,5.97564379320713,4.04192701751359e-12,-4.513784956662197e-12
60,85,OEYIOHPDSNJKLS-UHFFFAOYSA-N,104.17200000000001,-200136.18172147567,199863.81960896106,-136.18105625730055,145.14605748094982
61,86,PQGCEDQWHSBAJP-TXICZTDVSA-I,385.029,-3336.0970119816907,-3329.3098019216945,-3332.7034069516926,-3332.703406951689
62,87,VNOYUJKHFWYWIR-ITIYDSSPSA-I,862.57,-3556.757023580471,-3524.7781222915296,-3540.7675729360003,-344.4357050155658
63,88,VZCYOOQTPOCHFL-OWOJBTEDSA-L,114.057,-600.8629229046694,-596.0283593623112,-598.4456411334903,-598.4456411334913
64,89,QIVBCDIJIAJPQS-VIFPVBQESA-N,204.229,-116.42701164849454,-107.60017481615806,-112.0135932323263,-112.01359323232992
65,91,COLNVLDHVKWLRT-QMMMGPOBSA-N,165.192,-213.04836834240007,-201.0970807559939,-207.07272454919698,-207.07272454919567
66,92,BJEPYKJPYRNKOW-REOHCLBHSA-L,132.072,-842.4440469305064,-838.4192531664362,-840.4316500484713,-840.4316500484761
67,101,IOVCWXUNBOPUCH-UHFFFAOYSA-M,46.006,-79.72015676693155,-67.76886918052537,-73.74451297372846,-73.74451297372845
68,102,IPCSVZSSVZVIGE-UHFFFAOYSA-M,255.423,-265.3341960213033,-253.38290843489708,-259.35855222810017,-259.35855222810056
69,104,CWYNVVGOOAEACU-UHFFFAOYSA-N,55.843999999999994,-84.83607555568871,-72.88478796928253,-78.86043176248562,-78.860431762493
70,106,RQFCJASXJCIDSX-UUOKFMHZSA-L,361.208,-136853.61599094854,133774.24253948944,-1539.6867257295476,802.5723096850229
71,107,ONIBWKKTOPOVIA-BYPYZUCNSA-N,115.132,-313.2008247132921,-290.7876666198736,-301.99424566658286,155.47637514231954
72,109,KTVPXOYAKDPRHY-SOOFDHNKSA-L,228.09400000000002,-1599.4623171884434,-1595.2849096798766,-1597.37361343416,-1597.3736134341614
73,110,XSQUKJJJFZCRTK-UHFFFAOYSA-N,60.056000000000004,-208.7536948089966,-196.80240722259043,-202.77805101579352,-202.77805101579688
74,112,ANKZYBDXHMZBDK-SCRDCRAPSA-K,454.333,-1336.042590773917,-1301.935215583135,-1318.988903178526,39.78980510711606
75,113,PGAVKCOVUIYSFO-XVFCMESISA-J,480.10900000000004,-3369.4959392185783,-3350.2482850249,-3359.872112121739,-915.7366435171475
76,117,GRSZFWQUAKGDAV-KQYNXXCUSA-L,346.19300000000004,-1264.8062346608567,-1256.2333285727914,-1260.519781616824,-1260.5197816168275
77,118,OSJPPGNTCRNQQC-UWTATZPHSA-K,183.033,-1506.1132095124788,-1502.9785085539067,-1504.5458590331928,-1504.5458590331946
78,119,CDAISMWEOUEBRE-GPIVLXJGSA-N,180.15599999999998,-1003.9085267554564,-974.0560817991299,-988.9823042772931,-0.868761491616133
79,123,KRKNYBCHXYNGOX-UHFFFAOYSA-K,189.101,-1165.41570015595,-1160.7610458306374,-1163.0883729932937,-1163.0883729932946
80,124,CBIDRCWHNCKSTO-UHFFFAOYSA-K,243.06900000000002,-1841.2898648391872,-1828.595498352234,-1834.9426815957106,-2.4511950965693683
81,125,OJFDKHTZOUZBOS-CITAKDKDSA-J,847.58,-3358.967663650899,-3327.501725328681,-3343.23469448979,-146.90282656936648
82,126,HNDVDQJCIGZPNO-YFKPBYRVSA-N,155.157,-182.15636993653823,-165.81684542022003,-173.98660767837913,23.78701949685851
83,127,YZXBAPSDXZZRGB-DOFZRALJSA-M,303.467,65.40551138313721,93.92255865722304,79.66403502018012,-98.99340598988096
84,130,FFQKYPRQEYGKAF-UHFFFAOYSA-L,139.004,-1234.967161411182,-1223.0658215493447,-1229.0164914802633,-1229.0164914802617
85,132,ROHFNLRQFUQHCH-YFKPBYRVSA-N,131.175,-353.2913080871759,-344.0826834272394,-348.6869957572076,-348.68699575720865
86,134,AYFVYJQAPQTCCC-GBXIJSLDSA-N,119.12,-533.8740678324201,-524.7299205366045,-529.3019941845123,-529.3019941845072
87,135,OVRNDRQMDRJTHS-RTRLPJTCSA-N,221.209,-894.3524111904655,-884.0733612554395,-889.2128862229525,155.77492041383724
88,136,UCMIRNVEIXFBKS-UHFFFAOYSA-N,89.094,-383.864307054831,-362.7401218286833,-373.30221444175714,-373.3022144417514
89,137,FNZLKVNUWIIPSJ-UHNVWZDZSA-L,228.09400000000002,-1597.306416434917,-1593.3664215502222,-1595.3364189925696,-1595.336418992573
90,139,DCXYFEDJOCDNAF-REOHCLBHSA-N,132.119,-532.0167001035188,-520.0654125171127,-526.0410563103158,-526.0410563103142
91,140,DDQYFSWAPPTJDD-UHFFFAOYSA-N,320.38,-141406.98439013556,141435.72810172336,14.371855793906688,14.371855793909972
92,142,WUUGFSXJNOTRMR-IOSLPCCCSA-N,297.33,-14.16442274245404,4.4900775857213695,-4.837172578366335,695.5111755580838
93,143,YPZRWBKMTBYPTK-BJDJZHNGSA-L,610.61,-1860.8231878205809,-1823.3789229062488,-1842.1010553634148,-28.392044896380597
94,144,UJLXYODCHAELLY-XLPZGREQSA-K,399.166,-2329.7188318360772,-2310.9861092935075,-2320.3524705647924,-456.5202535246619
95,145,KKADPXVIOXHVKN-UHFFFAOYSA-M,179.15200000000002,-478.2347087123541,-463.00833282797606,-470.6215207701651,-470.6215207701728
96,146,WDJHALXBUFZDSR-UHFFFAOYSA-M,101.08200000000001,-492.35186622806486,-484.2817076824939,-488.3167869552794,-488.3167869552805
97,148,QNAYBMKLOCPYGJ-UWTATZPHSA-N,89.094,-369.93618827873183,-363.7118553553811,-366.82402181705646,-366.82402181705487
98,149,OKKJLVBELUTLKV-UHFFFAOYSA-N,32.042,-181.25369568811425,-169.30240810170807,-175.27805189491116,-175.2780518949053
99,150,ISAKRJDGNUQOIC-UHFFFAOYSA-N,112.088,-246.65874933449473,-230.45785087184672,-238.55830010317072,257.0929688491578
100,151,TYEYBOSBBBHJIV-UHFFFAOYSA-M,101.08200000000001,-477.03708806894196,-463.05536525712245,-470.0462266630322,-470.0462266630229
