,name,group_id,formation_energy_gc
92,ring N-CO-N [H0 Z0 Mg0],93,-149.5064998369175
93,N-CO-N [H0 Z0 Mg0],94,-161.2397720196953
94,N-COO [H1 Z0 Mg0],95,7.705045773476348e-14
95,N-COO [H0 Z-1 Mg0],96,-330.8571830217914
96,N-COO- [H0 Z0 Mg0],97,8.929335965996361e-15
97,N-CO [H1 Z0 Mg0],98,-129.3216281341247
98,-N-CO- [H0 Z0 Mg0],99,-182.15152222350508
99,N-CO- [H0 Z0 Mg0],100,-168.99754054981682
100,-N [H3 Z1 Mg0],101,-9.232284947885839
101,-N [H2 Z0 Mg0],102,17.365096373475964
102,-N [H1 Z-1 Mg0],103,-1.2929366797513982e-14
103,ring >c-N [H2 Z0 Mg0],104,26.08283878376441
104,ring >c-N [H3 Z1 Mg0],105,4.752090793169875e-15
105,-N< [H1 Z1 Mg0],106,4.089313123483836e-15
106,-N< [H0 Z0 Mg0],107,34.18227948474773
107,=N- [H0 Z0 Mg0],108,-260.7305153205879
108,=N- [H1 Z1 Mg0],109,-273.45488215335405
109,>N< [H0 Z1 Mg0],110,-2.5690304518984592e-14
110,=N=O [H0 Z1 Mg0],111,3.465250485574178e-14
111,-O-CO-O- [H0 Z0 Mg0],112,-1.5103065507145187e-14
112,ring -o-cO- [H0 Z0 Mg0],113,-1.0488752732639898e-14
113,ring -O-CO- [H0 Z0 Mg0],114,-249.76173929593412
114,-O-CO- [H0 Z0 Mg0],115,-307.55804085652727
115,-O-C=O [H0 Z0 Mg0],116,-9.384662465478978e-15
116,ring >c-O [H1 Z0 Mg0],117,-176.801950251317
117,ring >c-O [H0 Z-1 Mg0],118,-206.1529117545163
118,ring >C=O [H0 Z0 Mg0],119,-139.56333417456204
119,ring >C-O [H2 Z0 Mg0],120,-156.04763977092432
120,ring >C(-O)- [H1 Z0 Mg0],121,-172.52201081410084
121,ring >C(-O)- [H0 Z-1 Mg0],122,-2.9716614123940785e-15
122,-COO [H0 Z-1 Mg0],123,-317.99151270730493
123,-COO [H1 Z0 Mg0],124,7.094731685511757e-15
124,>C=O [H0 Z0 Mg0],125,-117.19247385601656
125,-C=O [H1 Z0 Mg0],126,-102.35152053754284
126,ring -o- [H0 Z0 Mg0],127,-1.3414740069089621e-14
127,ring -O- [H0 Z0 Mg0],128,-96.21381421399877
128,-C-O [H3 Z0 Mg0],129,-140.45821636329515
129,-C-O [H2 Z-1 Mg0],130,5.857269034476246e-14
130,-C(-O)- [H2 Z0 Mg0],131,-153.42409804094964
131,-C(-O)- [H1 Z-1 Mg0],132,2.1356965093161103e-14
132,>C(-O)- [H1 Z0 Mg0],133,-166.75678847725572
133,>C(-O)- [H0 Z-1 Mg0],134,-1.4058212972089097e-14
134,[N]-O [H1 Z0 Mg0],135,4.128927438957302e-14
135,[N]-O [H0 Z-1 Mg0],136,-4.00534049686949e-14
136,-O- [H0 Z0 Mg0],137,-117.40306207207345
137,-C#C- [H1 Z0 Mg0],138,8.191840153312576e-15
138,-C#C [H1 Z0 Mg0],139,3.67003453032905e-15
139,-C#C [H0 Z-1 Mg0],140,-1.726248230403823e-14
140,N#C- [H0 Z0 Mg0],141,-4.679228485846405e-14
141,3-ring =c< [H0 Z0 Mg0],142,-5.753976227723472e-15
142,2-ring >C< [H0 Z0 Mg0],143,-1.646769597047757e-14
143,2-ring -C< [H1 Z0 Mg0],144,-175.89168360750188
144,2-ring -C- [H2 Z0 Mg0],145,-4.912178608280306e-14
145,2-ring =C< [H0 Z0 Mg0],146,-161.00935306820966
146,(1+1)-ring =C< [H0 Z0 Mg0],147,14.66542428613064
147,2-ring =c< [H0 Z0 Mg0],148,13.053459844062985
148,ring =c- [H1 Z0 Mg0],149,29.232246756099116
149,ring =c< [H0 Z0 Mg0],150,13.920602068537317
150,ring =C< [H0 Z0 Mg0],151,-3.605097392409202
151,ring =C- [H1 Z0 Mg0],152,35.02452211892197
152,=C- [H1 Z0 Mg0],153,45.716143700606146
153,=C [H2 Z0 Mg0],154,57.2364584962294
154,=C< [H0 Z0 Mg0],155,34.724208634094516
155,ring >C< [H0 Z0 Mg0],156,-2.3787256269620256
156,>C< [H0 Z0 Mg0],157,-5.713106892708822
157,ring -C< [H1 Z0 Mg0],158,0.40456495666088327
158,-C< [H1 Z0 Mg0],159,0.23450215976865169
159,ring -C- [H2 Z0 Mg0],160,13.34042640784464
160,-C- [H2 Z0 Mg0],161,7.038726572300861
161,-C [H3 Z0 Mg0],162,16.06066843108734
162,Origin [H0 Z0 Mg0],163,-54.06651960812401
163,compound:8576,164,-119.8999999999999
164,compound:5,165,-236.6846520602002
165,compound:7,166,16.400000000000055
166,compound:12,167,-1087.3306013164708
167,compound:74380,168,11.565379085650923
168,compound:14,169,-1962.760014872573
169,compound:75150,170,4.524391765211316e-14
170,compound:16,171,-386.0
171,compound:1296,172,127.98347434449978
172,compound:18,173,-79.31205964828511
173,compound:140,174,14.179951839415217
174,compound:75409,175,-14.179951839414656
175,compound:149,176,-175.2780518948997
176,compound:24,177,-133.98888208431472
177,compound:2713,178,-45.100000000000044
178,compound:2844,179,-66.08902594744991
179,compound:416,180,102.19678237071349
180,compound:161,181,19.875909999999955
181,compound:675,182,-34.378051894899805
182,compound:549,183,104.19999999999996
183,compound:168,184,-19.875909999999976
184,compound:41,185,-350.87296724645404
185,compound:684,186,18.69999999999999
186,compound:9903,187,-44.286615000000005
187,compound:4400,188,-66.54451297372495
188,compound:4401,189,-52.73353892117481
189,compound:694322,190,77.31068237071351
190,compound:56,191,-126.32084032947643
191,compound:1721,192,1.7185664312678035e-14
192,compound:58,193,-740.0285045555504
193,compound:184,194,17.610974052550123
194,compound:60,195,-584.1904342451352
195,compound:185,196,-4.61097146561725
196,compound:703,197,39.144546158111
197,compound:195,198,-108.69010794062416
198,compound:715,199,51.05548780976924
199,compound:333,200,37.17142198174447
200,compound:1101,201,-138.94451297372493
201,compound:84,202,0.0
202,compound:215,203,86.5
203,compound:4187,204,-300.7
204,compound:81378,205,-525.3372313128829
205,compound:101,206,-73.74451297372494
206,compound:104,207,-78.86043176249655
207,compound:748,208,-3.345463612140861
208,compound:621,209,-455.2604317624966
209,compound:110,210,-171.20847799374323
210,compound:241,211,119.57050616877514
211,compound:242,212,-39.8551258395872
212,compound:9721,213,44.28661499999997
