,formula,stoichiometry,reaction_id
318,kegg:C00024 + kegg:C00229 = kegg:C00010 + kegg:C03939,"{23: -1.0, 858: -1.0, 15: 1.0, 1168: 1.0}",319
319,kegg:C00024 + kegg:C00318 = kegg:C00010 + kegg:C02571,"{23: -1.0, 164: -1.0, 15: 1.0, 951: 1.0}",320
320,kegg:C00024 + kegg:C06021 = kegg:C00237 + kegg:C06020 + kegg:C00010,"{23: -1.0, 4870: -1.0, 8576: 1.0, 4969: 1.0, 15: 1.0}",321
321,kegg:C00025 + COCO:COCOM00012 + kegg:C00001 = kegg:C00026 + COCO:COCOM00013 + kegg:C00014,"{74378: -1.0, 694323: -1.0, 5: -1.0, 22: 1.0, 694324: 1.0, 18: 1.0}",322
322,kegg:C00025 + kegg:C00003 + kegg:C00001 = kegg:C00026 + kegg:C00004 + kegg:C00014,"{74378: -1.0, 11: -1.0, 5: -1.0, 22: 1.0, 13: 1.0, 18: 1.0}",323
323,kegg:C00025 + kegg:C00006 + kegg:C00001 = kegg:C00026 + kegg:C00005 + kegg:C00014,"{74378: -1.0, 8: -1.0, 5: -1.0, 22: 1.0, 9: 1.0, 18: 1.0}",324
324,kegg:C00025 + kegg:C00149 + kegg:C00003 = kegg:C00049 + kegg:C00026 + kegg:C00004,"{74378: -1.0, 92: -1.0, 11: -1.0, 44: 1.0, 22: 1.0, 13: 1.0}",325
325,kegg:C00025 = kegg:C00217,"{74378: -1.0, 313: 1.0}",326
326,kegg:C00027 = 0.5 kegg:C00007 + kegg:C00001,"{24: -1.0, 7: 0.5, 5: 1.0}",327
327,kegg:C00029 + kegg:C00085 = kegg:C00015 + kegg:C16688,"{52: -1.0, 125172: -1.0, 20: 1.0, 691168: 1.0}",328
328,kegg:C00029 + kegg:C00092 = kegg:C00015 + kegg:C00689,"{52: -1.0, 152: -1.0, 20: 1.0, 427: 1.0}",329
329,kegg:C00029 + kegg:C00095 = kegg:C00015 + kegg:C00089,"{52: -1.0, 1260: -1.0, 20: 1.0, 159: 1.0}",330
330,kegg:C00029 + kegg:C00482 = kegg:C00015 + kegg:C01175,"{52: -1.0, 1035: -1.0, 20: 1.0, 1197: 1.0}",331
331,kegg:C00029 + kegg:C03384 = kegg:C00103 + kegg:C00052,"{52: -1.0, 318: -1.0, 74381: 1.0, 74408: 1.0}",332
332,kegg:C00029 = kegg:C00052,"{52: -1.0, 74408: 1.0}",333
333,kegg:C00031 + kegg:C00003 = kegg:C00198 + kegg:C00004,"{43: -1.0, 11: -1.0, 321: 1.0, 13: 1.0}",334
334,kegg:C00031 + kegg:C00006 = kegg:C00198 + kegg:C00005,"{43: -1.0, 8: -1.0, 321: 1.0, 9: 1.0}",335
335,kegg:C00031 + kegg:C00007 = kegg:C00198 + kegg:C00027,"{43: -1.0, 7: -1.0, 321: 1.0, 24: 1.0}",336
336,kegg:C00031 = kegg:C00095,"{43: -1.0, 1260: 1.0}",337
337,kegg:C00031 = kegg:C00159,"{43: -1.0, 172: 1.0}",338
338,kegg:C00035 + 2 kegg:C00001 = kegg:C00387 + 2 kegg:C00009,"{32: -1.0, 5: -2.0, 380: 1.0, 12: 2.0}",339
339,kegg:C00036 + kegg:C00024 + kegg:C00001 = kegg:C00158 + kegg:C00010,"{48: -1.0, 23: -1.0, 5: -1.0, 123: 1.0, 15: 1.0}",340
340,kegg:C00036 + kegg:C00100 = kegg:C00022 + kegg:C02557,"{48: -1.0, 81: -1.0, 25: 1.0, 131807: 1.0}",341
341,kegg:C00036 = kegg:C03981,"{48: -1.0, 132889: 1.0}",342
342,kegg:C00037 + kegg:C00003 + kegg:C00101 = kegg:C00143 + kegg:C00004 + kegg:C00014 + kegg:C00288 ,"{31: -1.0, 11: -1.0, 74383: -1.0, 173: 1.0, 13: 1.0, 18: 1.0, 60: 1.0}",343
343,kegg:C00037 + kegg:C00036 = kegg:C00048 + kegg:C00049,"{31: -1.0, 48: -1.0, 66: 1.0, 44: 1.0}",344
344,kegg:C00037 + kegg:C00067 = kegg:C00065,"{31: -1.0, 56: -1.0, 53: 1.0}",345
345,kegg:C00037 + kegg:C00084 = kegg:C00188,"{31: -1.0, 72: -1.0, 134: 1.0}",346
346,kegg:C00037 + kegg:C00725 = metanetx.chemical:MNXM39260 + kegg:C00288,"{31: -1.0, 691214: -1.0, 27863: 1.0, 60: 1.0}",347
347,kegg:C00041 + kegg:C00003 + kegg:C00001 = kegg:C00022 + kegg:C00004 + kegg:C00014,"{34: -1.0, 11: -1.0, 5: -1.0, 25: 1.0, 13: 1.0, 18: 1.0}",348
348,kegg:C00041 + kegg:C00026 = kegg:C00022 + kegg:C00025,"{34: -1.0, 22: -1.0, 25: 1.0, 74378: 1.0}",349
349,kegg:C00041 + kegg:C00168 = kegg:C00065 + kegg:C00022,"{34: -1.0, 371: -1.0, 53: 1.0, 25: 1.0}",350
350,kegg:C00041 + kegg:C00222 = kegg:C00099 + kegg:C00022,"{34: -1.0, 231: -1.0, 136: 1.0, 25: 1.0}",351
351,kegg:C00041 + kegg:C05665 = kegg:C00022 + kegg:C00986,"{34: -1.0, 470: -1.0, 25: 1.0, 331: 1.0}",352
352,kegg:C00041 = kegg:C00133,"{34: -1.0, 148: 1.0}",353
353,kegg:C00043 = kegg:C00203,"{49: -1.0, 131777: 1.0}",354
354,kegg:C00044 + 3 kegg:C00001 = kegg:C00387 + 3 kegg:C00009,"{51: -1.0, 5: -3.0, 380: 1.0, 12: 3.0}",355
355,kegg:C00044 + kegg:C00001 = kegg:C00035 + kegg:C00009,"{51: -1.0, 5: -1.0, 32: 1.0, 12: 1.0}",356
356,kegg:C00044 + kegg:C00001 = kegg:C05922,"{51: -1.0, 5: -1.0, 41023: 1.0}",357
357,kegg:C00044 + kegg:C00020 = kegg:C00008 + kegg:C00035,"{51: -1.0, 17: -1.0, 10: 1.0, 32: 1.0}",358
358,kegg:C00044 + kegg:C00042 + kegg:C00010 = kegg:C00035 + kegg:C00009 + kegg:C00091,"{51: -1.0, 27: -1.0, 15: -1.0, 32: 1.0, 12: 1.0, 87: 1.0}",359
359,kegg:C00044 + kegg:C00103 = kegg:C00394 + kegg:C00013,"{51: -1.0, 74381: -1.0, 74447: 1.0, 14: 1.0}",360
360,kegg:C00044 + kegg:C00130 + kegg:C00049 = kegg:C00035 + kegg:C00009 + kegg:C03794,"{51: -1.0, 117: -1.0, 44: -1.0, 32: 1.0, 12: 1.0, 536: 1.0}",361
361,kegg:C00044 + kegg:C00636 = kegg:C00096 + kegg:C00013,"{51: -1.0, 785: -1.0, 78: 1.0, 14: 1.0}",362
362,kegg:C00047 = kegg:C00739,"{75: -1.0, 903: 1.0}",363
363,kegg:C00047 = kegg:C01142,"{75: -1.0, 1667: 1.0}",364
364,kegg:C00048 + kegg:C00010 + kegg:C00006 = kegg:C00313 + kegg:C00005,"{66: -1.0, 15: -1.0, 8: -1.0, 588: 1.0, 9: 1.0}",365
365,kegg:C00049 + kegg:C00026 = kegg:C00036 + kegg:C00025,"{44: -1.0, 22: -1.0, 48: 1.0, 74378: 1.0}",366
366,kegg:C00049 = kegg:C00122 + kegg:C00014,"{44: -1.0, 88: 1.0, 18: 1.0}",367
367,kegg:C00058 + kegg:C00003 + kegg:C00001 = kegg:C00288 + kegg:C00004,"{41: -1.0, 11: -1.0, 5: -1.0, 60: 1.0, 13: 1.0}",368
368,kegg:C00058 + kegg:C00006 + kegg:C00001 = kegg:C00288 + kegg:C00005,"{41: -1.0, 8: -1.0, 5: -1.0, 60: 1.0, 9: 1.0}",369
369,kegg:C00062 + kegg:C00001 = kegg:C00077 + kegg:C00086,"{67: -1.0, 5: -1.0, 74395: 1.0, 110: 1.0}",370
370,kegg:C00062 + kegg:C00001 = kegg:C00327 + kegg:C00014,"{67: -1.0, 5: -1.0, 199: 1.0, 18: 1.0}",371
371,kegg:C00062 + kegg:C00037 = kegg:C00077 + kegg:C00581,"{67: -1.0, 31: -1.0, 74395: 1.0, 557: 1.0}",372
372,kegg:C00063 + kegg:C00103 = kegg:C00501 + kegg:C00013,"{63: -1.0, 74381: -1.0, 33905: 1.0, 14: 1.0}",373
373,kegg:C00063 + kegg:C00346 = kegg:C00013 + kegg:C00570,"{63: -1.0, 177: -1.0, 14: 1.0, 428: 1.0}",374
374,kegg:C00063 + kegg:C00588 = kegg:C00013 + kegg:C00307,"{63: -1.0, 216: -1.0, 14: 1.0, 269: 1.0}",375
375,kegg:C00064 + kegg:C00001 = kegg:C00025 + kegg:C00014,"{39: -1.0, 5: -1.0, 74378: 1.0, 18: 1.0}",376
376,kegg:C00064 + kegg:C00022 = kegg:C00940 + kegg:C00041,"{39: -1.0, 25: -1.0, 545: 1.0, 34: 1.0}",377
377,kegg:C00064 + kegg:C00048 = kegg:C00940 + kegg:C00037,"{39: -1.0, 66: -1.0, 545: 1.0, 31: 1.0}",378
378,kegg:C00065 = kegg:C00022 + kegg:C00014,"{53: -1.0, 25: 1.0, 18: 1.0}",379
379,kegg:C00074 + kegg:C00001 = kegg:C00022 + kegg:C00009,"{70: -1.0, 5: -1.0, 25: 1.0, 12: 1.0}",380
380,kegg:C00074 + kegg:C00279 + kegg:C00001 = kegg:C04691 + kegg:C00009,"{70: -1.0, 245: -1.0, 5: -1.0, 1126: 1.0, 12: 1.0}",381
381,kegg:C00074 = kegg:C02798,"{70: -1.0, 1122: 1.0}",382
382,kegg:C00075 + kegg:C00103 = kegg:C00013 + kegg:C00029,"{113: -1.0, 74381: -1.0, 14: 1.0, 52: 1.0}",383
383,kegg:C00075 + kegg:C00105 = 2 kegg:C00015,"{113: -1.0, 77: -1.0, 20: 2.0}",384
384,kegg:C00075 + kegg:C04256 = kegg:C00043 + kegg:C00013,"{113: -1.0, 74429: -1.0, 49: 1.0, 14: 1.0}",385
385,kegg:C00077 + kegg:C00026 = kegg:C03912 + kegg:C00025,"{74395: -1.0, 22: -1.0, 285: 1.0, 74378: 1.0}",386
386,kegg:C00078 + kegg:C00001 = kegg:C00463 + kegg:C00022 + kegg:C00014,"{89: -1.0, 5: -1.0, 357: 1.0, 25: 1.0, 18: 1.0}",387
387,kegg:C00079 + kegg:C00026 = kegg:C00166 + kegg:C00025,"{91: -1.0, 22: -1.0, 557745: 1.0, 74378: 1.0}",388
388,kegg:C00079 = kegg:C00423 + kegg:C00014,"{91: -1.0, 417: 1.0, 18: 1.0}",389
389,kegg:C00081 + kegg:C00001 = kegg:C00104 + kegg:C00009,"{402: -1.0, 5: -1.0, 472: 1.0, 12: 1.0}",390
390,kegg:C00081 + kegg:C00001 = kegg:C00130 + kegg:C00013,"{402: -1.0, 5: -1.0, 117: 1.0, 14: 1.0}",391
391,kegg:C00081 + kegg:C00036 + kegg:C00001 = kegg:C00104 + kegg:C00074 + kegg:C00288,"{402: -1.0, 48: -1.0, 5: -1.0, 472: 1.0, 70: 1.0, 60: 1.0}",392
392,kegg:C00082 + kegg:C00026 = kegg:C01179 + kegg:C00025,"{73: -1.0, 22: -1.0, 145: 1.0, 74378: 1.0}",393
393,kegg:C00083 + kegg:C00229 = kegg:C00010 + kegg:C01209,"{42: -1.0, 858: -1.0, 15: 1.0, 174: 1.0}",394
394,kegg:C00084 + kegg:C00010 + kegg:C00003 = kegg:C00024 + kegg:C00004,"{72: -1.0, 15: -1.0, 11: -1.0, 23: 1.0, 13: 1.0}",395
395,kegg:C00085 + kegg:C00001 = kegg:C00095 + kegg:C00009,"{125172: -1.0, 5: -1.0, 1260: 1.0, 12: 1.0}",396
396,kegg:C00085 + kegg:C00118 = kegg:C00279 + kegg:C00231,"{125172: -1.0, 71: -1.0, 245: 1.0, 176: 1.0}",397
397,kegg:C00085 + kegg:C00266 = kegg:C02045 + kegg:C00279,"{125172: -1.0, 330: -1.0, 46145: 1.0, 245: 1.0}",398
398,kegg:C00085 + kegg:C01231 = kegg:C00092 + kegg:C00354,"{125172: -1.0, 1556: -1.0, 152: 1.0, 396: 1.0}",399
399,kegg:C00086 + 2 kegg:C00001 = 2 kegg:C00014 + kegg:C00288,"{110: -1.0, 5: -2.0, 18: 2.0, 60: 1.0}",400
400,kegg:C00089 + kegg:C00001 = kegg:C00031 + kegg:C00095,"{159: -1.0, 5: -1.0, 43: 1.0, 1260: 1.0}",401
401,kegg:C00089 + kegg:C00009 = kegg:C00103 + kegg:C00095,"{159: -1.0, 12: -1.0, 74381: 1.0, 1260: 1.0}",402
402,kegg:C00091 + kegg:C00164 = kegg:C00042 + kegg:C00332,"{87: -1.0, 146: -1.0, 27: 1.0, 125: 1.0}",403
403,kegg:C00092 + kegg:C00001 = kegg:C00031 + kegg:C00009,"{152: -1.0, 5: -1.0, 43: 1.0, 12: 1.0}",404
404,kegg:C00092 + kegg:C00006 + kegg:C00001 = kegg:C00345 + kegg:C00005,"{152: -1.0, 8: -1.0, 5: -1.0, 307: 1.0, 9: 1.0}",405
405,kegg:C00092 + kegg:C00006 = kegg:C01236 + kegg:C00005,"{152: -1.0, 8: -1.0, 408: 1.0, 9: 1.0}",406
406,kegg:C00092 = kegg:C00085,"{152: -1.0, 125172: 1.0}",407
407,kegg:C00093 + kegg:C00003 = kegg:C00111 + kegg:C00004,"{64: -1.0, 11: -1.0, 74: 1.0, 13: 1.0}",408
408,kegg:C00095 + kegg:C00006 = kegg:C00273 + kegg:C00005,"{1260: -1.0, 8: -1.0, 799: 1.0, 9: 1.0}",409
409,kegg:C00095 + kegg:C00118 = kegg:C00085 + kegg:C00577,"{1260: -1.0, 71: -1.0, 125172: 1.0, 414: 1.0}",410
410,kegg:C00096 = kegg:C02280,"{78: -1.0, 1294: 1.0}",411
411,kegg:C00100 + kegg:C00318 = kegg:C00010 + kegg:C03017,"{81: -1.0, 164: -1.0, 15: 1.0, 2694: 1.0}",412
412,kegg:C00101 + kegg:C00006 = kegg:C00415 + kegg:C00005,"{74383: -1.0, 8: -1.0, 267: 1.0, 9: 1.0}",413
413,kegg:C00101 + kegg:C00067 = kegg:C00143,"{74383: -1.0, 56: -1.0, 173: 1.0}",414
414,kegg:C00103 = kegg:C00092,"{74381: -1.0, 152: 1.0}",415
415,kegg:C00116 + kegg:C00003 = kegg:C00184 + kegg:C00004,"{74384: -1.0, 11: -1.0, 438: 1.0, 13: 1.0}",416
416,kegg:C00116 + kegg:C00006 = kegg:C00577 + kegg:C00005,"{74384: -1.0, 8: -1.0, 414: 1.0, 9: 1.0}",417
417,kegg:C00117 + kegg:C00001 = kegg:C00121 + kegg:C00009,"{109: -1.0, 5: -1.0, 229: 1.0, 12: 1.0}",418
418,kegg:C00117 = kegg:C00199,"{109: -1.0, 137: 1.0}",419
419,kegg:C00118 + kegg:C00008 + kegg:C00003 + kegg:C00009 = kegg:C00197 + kegg:C00002 + kegg:C00004,"{71: -1.0, 10: -1.0, 11: -1.0, 12: -1.0, 118: 1.0, 6: 1.0, 13: 1.0}",420
420,kegg:C00118 + kegg:C00009 + kegg:C00003 = kegg:C00236 + kegg:C00004,"{71: -1.0, 12: -1.0, 11: -1.0, 248: 1.0, 13: 1.0}",421
421,kegg:C00118 + kegg:C00463 = kegg:C03506,"{71: -1.0, 357: -1.0, 807: 1.0}",422
422,kegg:C00118 = kegg:C00111,"{71: -1.0, 74: 1.0}",423
423,kegg:C00121 = kegg:C00309,"{229: -1.0, 29687: 1.0}",424
424,kegg:C00122 + kegg:C00001 = kegg:C00149,"{88: -1.0, 5: -1.0, 92: 1.0}",425
425,kegg:C00123 + kegg:C00003 + kegg:C00001 = kegg:C00233 + kegg:C00004 + kegg:C00014,"{132: -1.0, 11: -1.0, 5: -1.0, 383: 1.0, 13: 1.0, 18: 1.0}",426
426,kegg:C00123 + kegg:C00026 = kegg:C00233 + kegg:C00025,"{132: -1.0, 22: -1.0, 383: 1.0, 74378: 1.0}",427
427,kegg:C00123 = kegg:C01570,"{132: -1.0, 6927: 1.0}",428
428,kegg:C00124 + kegg:C00003 = kegg:C03383 + kegg:C00004,"{369: -1.0, 11: -1.0, 2646: 1.0, 13: 1.0}",429
429,kegg:C00129 = kegg:C00235,"{79: -1.0, 124: 1.0}",430
430,kegg:C00130 + kegg:C00001 = kegg:C00294 + kegg:C00009,"{117: -1.0, 5: -1.0, 316: 1.0, 12: 1.0}",431
431,kegg:C00130 + kegg:C00013 = kegg:C00262 + kegg:C00119,"{117: -1.0, 14: -1.0, 201: 1.0, 86: 1.0}",432
432,kegg:C00133 + kegg:C00026 = kegg:C00022 + kegg:C00217,"{148: -1.0, 22: -1.0, 25: 1.0, 313: 1.0}",433
433,kegg:C00135 = kegg:C00785 + kegg:C00014,"{126: -1.0, 664: 1.0, 18: 1.0}",434
434,kegg:C00140 = kegg:C00645,"{135: -1.0, 2133: 1.0}",435
435,kegg:C00143 + COCO:COCOM00012 = kegg:C00445 + COCO:COCOM00013,"{173: -1.0, 694323: -1.0, 487: 1.0, 694324: 1.0}",436
436,kegg:C00143 + kegg:C00003 = kegg:C00445 + kegg:C00004,"{173: -1.0, 11: -1.0, 487: 1.0, 13: 1.0}",437
437,kegg:C00143 + kegg:C00006 = kegg:C00234 + kegg:C00005,"{173: -1.0, 8: -1.0, 224: 1.0, 9: 1.0}",438
438,kegg:C00143 + kegg:C00006 = kegg:C00445 + kegg:C00005,"{173: -1.0, 8: -1.0, 487: 1.0, 9: 1.0}",439
439,kegg:C00143 + kegg:C00037 + kegg:C00001 = kegg:C00101 + kegg:C00065,"{173: -1.0, 31: -1.0, 5: -1.0, 74383: 1.0, 53: 1.0}",440
440,kegg:C00143 + kegg:C00365 = kegg:C00415 + kegg:C00364,"{173: -1.0, 221: -1.0, 267: 1.0, 244: 1.0}",441
441,kegg:C00144 + kegg:C00001 = kegg:C00387 + kegg:C00009,"{106: -1.0, 5: -1.0, 380: 1.0, 12: 1.0}",442
442,kegg:C00144 + kegg:C00262 = kegg:C00130 + kegg:C00242,"{106: -1.0, 201: -1.0, 117: 1.0, 246: 1.0}",443
443,kegg:C00147 + kegg:C00119 = kegg:C00020 + kegg:C00013,"{160: -1.0, 86: -1.0, 17: 1.0, 14: 1.0}",444
444,kegg:C00148 + kegg:C00006 = kegg:C03564 + kegg:C00005,"{107: -1.0, 8: -1.0, 886: 1.0, 9: 1.0}",445
445,kegg:C00148 + kegg:C00006 = kegg:C03912 + kegg:C00005,"{107: -1.0, 8: -1.0, 285: 1.0, 9: 1.0}",446
446,kegg:C00149 + kegg:C00003 + kegg:C00001 = kegg:C00022 + kegg:C00004 + kegg:C00288,"{92: -1.0, 11: -1.0, 5: -1.0, 25: 1.0, 13: 1.0, 60: 1.0}",447
447,kegg:C00149 + kegg:C00003 = kegg:C00036 + kegg:C00004,"{92: -1.0, 11: -1.0, 48: 1.0, 13: 1.0}",448
448,kegg:C00149 + kegg:C00006 + kegg:C00001 = kegg:C00022 + kegg:C00005 + kegg:C00288,"{92: -1.0, 8: -1.0, 5: -1.0, 25: 1.0, 9: 1.0, 60: 1.0}",449
449,kegg:C00149 + kegg:C00024 + kegg:C00003 + kegg:C00001 = kegg:C00158 + kegg:C00010 + kegg:C00004,"{92: -1.0, 23: -1.0, 11: -1.0, 5: -1.0, 123: 1.0, 15: 1.0, 13: 1.0}",450
450,kegg:C00152 + kegg:C00001 = kegg:C00049 + kegg:C00014,"{139: -1.0, 5: -1.0, 44: 1.0, 18: 1.0}",451
451,kegg:C00153 + kegg:C00620 = kegg:C03150 + kegg:C00009,"{204: -1.0, 281: -1.0, 1032: 1.0, 12: 1.0}",452
452,kegg:C00154 + kegg:C00318 = kegg:C00010 + kegg:C02990,"{83: -1.0, 164: -1.0, 15: 1.0, 739: 1.0}",453
453,kegg:C00158 = kegg:C00033 + kegg:C00036,"{123: -1.0, 28: 1.0, 48: 1.0}",454
454,kegg:C00158 = kegg:C00417 + kegg:C00001,"{123: -1.0, 764: 1.0, 5: 1.0}",455
455,kegg:C00159 = kegg:C00095,"{172: -1.0, 1260: 1.0}",456
456,kegg:C00160 + kegg:C00003 = kegg:C00048 + kegg:C00004,"{210: -1.0, 11: -1.0, 66: 1.0, 13: 1.0}",457
457,kegg:C00166 = kegg:C02763,"{557745: -1.0, 198: 1.0}",458
458,kegg:C00167 = kegg:C00617,"{82: -1.0, 1011: 1.0}",459
459,kegg:C00169 + kegg:C00049 = kegg:C00009 + kegg:C00438,"{130: -1.0, 44: -1.0, 12: 1.0, 443: 1.0}",460
460,kegg:C00169 + kegg:C00077 = kegg:C00327 + kegg:C00009,"{130: -1.0, 74395: -1.0, 199: 1.0, 12: 1.0}",461
461,kegg:C00170 + kegg:C00009 = kegg:C00147 + kegg:C04188,"{142: -1.0, 12: -1.0, 160: 1.0, 386: 1.0}",462
462,kegg:C00181 = kegg:C00310,"{74603: -1.0, 567: 1.0}",463
463,kegg:C00183 + kegg:C00026 = kegg:C06255 + kegg:C00025,"{188: -1.0, 22: -1.0, 3723: 1.0, 74378: 1.0}",464
464,kegg:C00185 + kegg:C00001 = 2 kegg:C00031,"{1056: -1.0, 5: -1.0, 43: 2.0}",465
465,kegg:C00185 + kegg:C00009 = kegg:C00031 + kegg:C00103,"{1056: -1.0, 12: -1.0, 43: 1.0, 74381: 1.0}",466
466,kegg:C00186 + COCO:COCOM00012 = kegg:C00022 + COCO:COCOM00013,"{169: -1.0, 694323: -1.0, 25: 1.0, 694324: 1.0}",467
467,kegg:C00186 + kegg:C00003 = kegg:C00022 + kegg:C00004,"{169: -1.0, 11: -1.0, 25: 1.0, 13: 1.0}",468
468,kegg:C00186 + kegg:C00036 = kegg:C00149 + kegg:C00022,"{169: -1.0, 48: -1.0, 92: 1.0, 25: 1.0}",469
469,kegg:C00187 + 0.5 kegg:C00007 = kegg:C00599 + kegg:C00001,"{97: -1.0, 7: -0.5, 901: 1.0, 5: 1.0}",470
470,kegg:C00187 + kegg:C00007 = kegg:C00599 + kegg:C00027,"{97: -1.0, 7: -1.0, 901: 1.0, 24: 1.0}",471
471,kegg:C00191 = kegg:C00905,"{228: -1.0, 1498: 1.0}",472
472,kegg:C00197 + kegg:C00001 = kegg:C00258 + kegg:C00009,"{118: -1.0, 5: -1.0, 179: 1.0, 12: 1.0}",473
473,kegg:C00197 + kegg:C00003 = kegg:C03232 + kegg:C00004,"{118: -1.0, 11: -1.0, 514: 1.0, 13: 1.0}",474
474,kegg:C00199 + kegg:C00001 = kegg:C00309 + kegg:C00009,"{137: -1.0, 5: -1.0, 29687: 1.0, 12: 1.0}",475
475,kegg:C00199 + kegg:C00067 = kegg:C06019,"{137: -1.0, 56: -1.0, 1497: 1.0}",476
476,kegg:C00199 = kegg:C00231,"{137: -1.0, 176: 1.0}",477
477,kegg:C00204 = kegg:C00022 + kegg:C00577,"{419: -1.0, 25: 1.0, 414: 1.0}",478
478,kegg:C00208 + kegg:C00001 = 2 kegg:C00031,"{157: -1.0, 5: -1.0, 43: 2.0}",479
479,kegg:C00208 + kegg:C00009 = kegg:C00031 + kegg:C00103,"{157: -1.0, 12: -1.0, 43: 1.0, 74381: 1.0}",480
480,kegg:C00212 + kegg:C00001 = kegg:C00147 + kegg:C00121,"{200: -1.0, 5: -1.0, 160: 1.0, 229: 1.0}",481
481,kegg:C00212 + kegg:C00001 = kegg:C00294 + kegg:C00014,"{200: -1.0, 5: -1.0, 316: 1.0, 18: 1.0}",482
482,kegg:C00212 + kegg:C00009 = kegg:C00147 + kegg:C00620,"{200: -1.0, 12: -1.0, 160: 1.0, 281: 1.0}",483
483,kegg:C00214 + kegg:C00147 = kegg:C00559 + kegg:C00178,"{399: -1.0, 160: -1.0, 594: 1.0, 366: 1.0}",484
484,kegg:C00216 = kegg:C00121,"{516: -1.0, 229: 1.0}",485
485,kegg:C00216 = kegg:C00309,"{516: -1.0, 29687: 1.0}",486
486,kegg:C00217 = kegg:C02237 + kegg:C00001,"{313: -1.0, 3050: 1.0, 5: 1.0}",487
487,kegg:C00227 + kegg:C00001 = kegg:C00033 + kegg:C00009,"{266: -1.0, 5: -1.0, 28: 1.0, 12: 1.0}",488
488,kegg:C00227 + kegg:C01589 = kegg:C02560 + kegg:C00009,"{266: -1.0, 3684: -1.0, 4074: 1.0, 12: 1.0}",489
489,kegg:C00232 + kegg:C00005 = kegg:C00989 + kegg:C00006,"{163: -1.0, 9: -1.0, 489: 1.0, 8: 1.0}",490
490,kegg:C00234 + kegg:C04677 = kegg:C00101 + kegg:C04734,"{224: -1.0, 346: -1.0, 74383: 1.0, 435: 1.0}",491
491,kegg:C00242 + kegg:C00119 = kegg:C00144 + kegg:C00013,"{246: -1.0, 86: -1.0, 106: 1.0, 14: 1.0}",492
492,kegg:C00243 + 2 kegg:C00125 = kegg:C05403 + 2 kegg:C00126,"{343: -1.0, 4914: -2.0, 25462: 1.0, 704: 2.0}",493
493,kegg:C00243 + kegg:C00001 = kegg:C00124 + kegg:C00031,"{343: -1.0, 5: -1.0, 369: 1.0, 43: 1.0}",494
494,kegg:C00251 + kegg:C00014 = kegg:C00108 + kegg:C00022 + kegg:C00001,"{319: -1.0, 18: -1.0, 178: 1.0, 25: 1.0, 5: 1.0}",495
495,kegg:C00251 + kegg:C00014 = kegg:C11355 + kegg:C00001,"{319: -1.0, 18: -1.0, 1321: 1.0, 5: 1.0}",496
496,kegg:C00251 + kegg:C00014 = kegg:C18054 + kegg:C00001,"{319: -1.0, 18: -1.0, 1816: 1.0, 5: 1.0}",497
497,kegg:C00251 = kegg:C00156 + kegg:C00022,"{319: -1.0, 156: 1.0, 25: 1.0}",498
498,kegg:C00251 = kegg:C00254,"{319: -1.0, 479: 1.0}",499
499,kegg:C00251 = kegg:C00885,"{319: -1.0, 751: 1.0}",500
500,kegg:C00252 + kegg:C00001 = 2 kegg:C00031,"{44860: -1.0, 5: -1.0, 43: 2.0}",501
501,kegg:C00254 + kegg:C00003 = kegg:C01179 + kegg:C00004 + kegg:C00288,"{479: -1.0, 11: -1.0, 145: 1.0, 13: 1.0, 60: 1.0}",502
502,kegg:C00254 = kegg:C00166 + kegg:C00001 + kegg:C00288,"{479: -1.0, 557745: 1.0, 5: 1.0, 60: 1.0}",503
503,kegg:C00256 + kegg:C00003 = kegg:C00022 + kegg:C00004,"{271: -1.0, 11: -1.0, 25: 1.0, 13: 1.0}",504
504,kegg:C00257 + kegg:C00006 = kegg:C06473 + kegg:C00005,"{323: -1.0, 8: -1.0, 552: 1.0, 9: 1.0}",505
505,kegg:C00258 + kegg:C00003 = kegg:C00168 + kegg:C00004,"{179: -1.0, 11: -1.0, 371: 1.0, 13: 1.0}",506
506,kegg:C00258 + kegg:C00003 = kegg:C01146 + kegg:C00004,"{179: -1.0, 11: -1.0, 453: 1.0, 13: 1.0}",507
507,kegg:C00259 = kegg:C00508,"{439: -1.0, 650: 1.0}",508
508,kegg:C00262 + kegg:C00119 = kegg:C00130 + kegg:C00013,"{201: -1.0, 86: -1.0, 117: 1.0, 14: 1.0}",509
509,kegg:C00263 + kegg:C00003 = kegg:C00441 + kegg:C00004,"{334: -1.0, 11: -1.0, 342: 1.0, 13: 1.0}",510
510,kegg:C00263 + kegg:C00006 = kegg:C00441 + kegg:C00005,"{334: -1.0, 8: -1.0, 342: 1.0, 9: 1.0}",511
511,kegg:C00270 = kegg:C00645 + kegg:C00022,"{214: -1.0, 2133: 1.0, 25: 1.0}",512
512,kegg:C00275 + kegg:C00001 = kegg:C00159 + kegg:C00009,"{29047: -1.0, 5: -1.0, 172: 1.0, 12: 1.0}",513
513,kegg:C00275 = kegg:C00085,"{29047: -1.0, 125172: 1.0}",514
514,kegg:C00282 + kegg:C00003 = kegg:C00004,"{184: -1.0, 11: -1.0, 13: 1.0}",515
515,kegg:C00294 + kegg:C00001 = kegg:C00262 + kegg:C00121,"{316: -1.0, 5: -1.0, 201: 1.0, 229: 1.0}",516
